10000000
300
ZONE	MED	LOSS(MEV)	(MEV)	EXCITATION	PI0	(MEV)	PI+	K+	MU-	MU+	PROT	DEUT	TRIT	HE3	ALPH	ELSC	INEL	FISS
1	1	4500730	615,599	2,354	1	7,908	0	0	0	0	4700	921	252	588	2813	3526	11029	0
2	1	4551120	655,576	9,597	3	46,45	0	0	0	0	6406	1152	258	653	2785	3642	11325	0
3	1	4582280	646,744	9,745	3	32,57	0	0	0	0	7033	1212	305	608	2787	3671	11188	0
4	1	4614330	662,513	23,05	1	16,39	0	0	0	0	7798	1202	339	656	2823	3794	11370	0
5	1	4640360	654,458	41,38	2	33,73	0	0	0	0	8372	1218	329	671	2992	3729	11489	0
6	1	4663510	659,087	23,41	3	24,43	0	0	0	0	8685	1232	317	657	2867	3801	11696	0
7	1	4687430	682,99	7,577	2	8,249	0	0	0	0	9140	1254	263	664	2943	3942	11471	0
8	1	4704050	656,641	17,27	1	9,71	0	0	0	0	9431	1302	314	640	2926	3839	11752	0
9	1	4722370	669,784	8,029	2	19,17	0	0	0	0	9702	1209	325	664	3031	3951	11743	0
10	1	4740900	679,829	13,62	2	7,391	0	0	0	0	10088	1241	309	619	2847	3936	11595	0
11	1	4758550	712,796	17,03	0	0	0	0	0	0	10253	1279	331	686	2897	4078	11729	0
12	1	4774830	694,102	34,53	1	2,403	0	0	0	0	10417	1288	336	638	2823	4199	11737	0
13	1	4789220	700,91	3,014	1	16,94	0	0	0	0	10371	1203	337	649	2883	4126	11741	0
14	1	4808210	705,44	24,14	2	36,51	0	0	0	0	10833	1266	321	644	2940	4183	11881	0
15	1	4825590	695,448	0,123	5	57,69	0	0	0	0	10995	1220	323	708	2939	4160	11931	0
16	1	4840060	743,04	14,69	2	19,14	0	0	0	0	11339	1236	323	668	2895	4394	12163	0
17	1	4851810	717,47	19,19	2	11,75	0	0	0	0	11374	1257	314	658	2839	4293	12013	0
18	1	4868570	733,601	0,7198	0	0	0	0	0	0	11672	1292	318	672	2884	4320	12233	0
