5000000
300
ZONE	MED	LOSS(MEV)	(MEV)	EXCITATION	PI0	(MEV)	PI+	K+	MU-	MU+	PROT	DEUT	TRIT	HE3	ALPH	ELSC	INEL	FISS
1	1	2249300	302,162	4,312	0	0	0	0	0	0	2342	505	106	278	1346	1758	5454	0
2	1	2273290	325,668	21,04	0	0	0	0	0	0	3157	544	150	358	1337	1833	5576	0
3	1	2290230	326,376	0	0	0	0	0	0	0	3567	581	145	327	1440	1859	5588	0
4	1	2302640	333,575	31,53	1	3,987	0	0	0	0	3788	568	146	295	1356	1823	5657	0
5	1	2317200	332,555	15,79	0	0	0	0	0	0	4132	559	155	312	1472	1900	5751	0
6	1	2329210	326,866	4,874	0	0	0	0	0	0	4325	610	158	303	1496	1927	5763	0
7	1	2340950	353,039	0	0	0	0	0	0	0	4581	612	160	318	1488	1980	5842	0
8	1	2352510	352,184	0	0	0	0	0	0	0	4813	647	163	348	1494	1988	5798	0
9	1	2361580	365,179	7,105	1	13,34	0	0	0	0	4844	611	158	316	1427	2060	5897	0
10	1	2370600	341,062	6,055	2	26,18	0	0	0	0	4972	640	133	345	1370	1979	5848	0
11	1	2378620	339,563	16,89	2	28,01	0	0	0	0	5085	622	161	311	1450	2003	5939	0
12	1	2388030	361,025	17,03	0	0	0	0	0	0	5219	622	168	311	1480	2128	5891	0
13	1	2397960	347,921	6,383	0	0	0	0	0	0	5507	622	157	347	1457	2104	6037	0
14	1	2406130	372,053	0	1	9	0	0	0	0	5487	635	155	304	1547	2206	6059	0
15	1	2413420	354,026	18,76	0	0	0	0	0	0	5500	648	159	336	1459	2162	5919	0
16	1	2418470	375,718	6,021	0	0	0	0	0	0	5654	600	126	330	1461	2258	5991	0
17	1	2427510	369,725	17,82	0	0	0	0	0	0	5790	668	167	348	1470	2244	6017	0
18	1	2434320	362,894	0,2817	2	14,29	0	0	0	0	5748	664	152	351	1542	2136	6096	0
19	1	2441470	362,163	15,69	0	0	0	0	0	0	5853	605	170	310	1528	2202	6146	0
20	1	2448740	366,574	0	0	0	0	0	0	0	6002	627	148	349	1522	2224	6136	0
21	1	2454860	372,249	0	0	0	0	0	0	0	5918	675	172	347	1446	2297	6152	0
22	1	2461920	363,869	0	0	0	0	0	0	0	6079	673	170	334	1420	2199	6113	0
23	1	2468850	375,95	12,91	0	0	0	0	0	0	6121	647	198	330	1510	2253	6189	0
24	1	2474200	397,163	0,4919	4	27,72	0	0	0	0	6309	579	156	332	1440	2382	6195	0
25	1	2478480	387,699	16	0	0	0	0	0	0	6226	644	158	325	1463	2339	6055	0
26	1	2487250	381,097	0	0	0	0	0	0	0	6263	653	163	330	1526	2308	6157	0
27	1	2490720	391,667	0	0	0	0	0	0	0	6449	579	155	297	1500	2352	6060	0
28	1	2495350	375,848	2,182	1	20,74	0	0	0	0	6374	620	129	334	1355	2370	5958	0
29	1	2502530	392,231	33,13	0	0	0	0	0	0	6343	608	182	318	1496	2460	6124	0
30	1	2507570	386,864	10,23	1	42,73	0	0	0	0	6350	622	131	295	1501	2439	6176	0
31	1	2516780	391,04	12,14	1	16,03	0	0	0	0	6631	610	159	324	1524	2471	6213	0
32	1	2524810	396,098	19,11	0	0	0	0	0	0	6712	618	160	330	1584	2409	6485	0
33	1	2529740	396,358	18,17	1	9,465	0	0	0	0	6854	608	187	348	1429	2538	6281	0
34	1	2536460	416,007	12,27	0	0	0	0	0	0	6837	636	181	333	1520	2423	6479	0
35	1	2542670	399,388	15,25	0	0	0	0	0	0	6990	657	165	324	1484	2493	6194	0
36	1	2544370	389,713	9,577	0	0	0	0	0	0	6800	602	147	329	1414	2365	6164	0
37	1	2552990	395,612	16,09	1	2,665	0	0	0	0	6935	678	155	315	1543	2522	6338	0
38	1	2555350	419,798	7,442	0	0	0	0	0	0	6985	608	175	318	1558	2497	6403	0
39	1	2561290	407,527	9,097	0	0	0	0	0	0	6880	648	135	330	1468	2537	6179	0
40	1	2569120	404,574	4,986	1	1,022	0	0	0	0	7141	637	173	349	1483	2520	6261	0
41	1	2573400	422,955	5,973	0	0	0	0	0	0	7050	642	166	368	1454	2603	6233	0
42	1	2580810	407,367	21,36	0	0	0	0	0	0	7262	627	165	320	1556	2564	6407	0
43	1	2583320	414,979	1,664	1	4,37	0	0	0	0	7321	604	166	307	1482	2583	6274	0
44	1	2590800	433,498	6,021	0	0	0	0	0	0	7307	677	179	369	1528	2702	6430	0
45	1	2593270	422,857	15,42	1	8,745	0	0	0	0	7273	686	163	338	1441	2633	6479	0
46	1	2601740	408,02	7,676	0	0	0	0	0	0	7567	616	143	337	1592	2657	6411	0
47	1	2601740	420,531	3,949	0	0	0	0	0	0	7280	600	151	306	1553	2655	6409	0
48	1	2612560	420,883	7,243	0	0	0	0	0	0	7509	684	154	356	1524	2673	6415	0
