10000000
300
ZONE	MED	LOSS(MEV)	(MEV)	EXCITATION	PI0	(MEV)	PI+	K+	MU-	MU+	PROT	DEUT	TRIT	HE3	ALPH	ELSC	INEL	FISS
1	1	4498430	624,696	18,47	0	0	0	0	0	0	4749	987	253	603	2606	3522	11125	0
2	1	4548340	630,343	12,76	4	86,07	0	0	0	0	6309	1152	273	687	2843	3567	11080	0
3	1	4581430	649,881	17,49	2	14,75	0	0	0	0	7174	1158	290	621	2887	3808	11399	0
4	1	4610470	645,532	11,74	3	39,86	0	0	0	0	7896	1208	311	651	2694	3672	11411	0
5	1	4635900	672,447	8,042	1	16,5	0	0	0	0	8234	1228	319	657	2751	3761	11236	0
6	1	4663710	671,212	14,28	1	18,54	0	0	0	0	8661	1214	318	665	2872	3890	11586	0
7	1	4683540	666,91	6,408	1	7,481	0	0	0	0	9208	1213	295	663	2812	3823	11543	0
8	1	4704900	688,188	16,69	2	14,95	0	0	0	0	9421	1191	296	646	2908	4062	11726	0
9	1	4721980	685,843	10,04	5	87,37	0	0	0	0	9851	1246	304	577	2907	3983	11804	0
10	1	4738870	706,713	9,414	0	0	0	0	0	0	9934	1161	314	617	2903	4045	11741	0
11	1	4758470	689,975	14,19	2	8,494	0	0	0	0	10194	1199	311	715	2941	4113	11839	0
12	1	4779650	690,686	35,58	3	78,21	0	0	0	0	10486	1288	311	669	3026	4163	11992	0
13	1	4789880	711,203	3,54	1	19,81	0	0	0	0	10371	1169	342	662	2751	4207	11701	0
14	1	4809030	696,998	16,17	0	0	0	0	0	0	10889	1283	322	679	2985	4219	11945	0
15	1	4822590	729,616	20,34	2	14,24	0	0	0	0	11280	1199	305	699	2956	4210	12057	0
16	1	4833220	714,427	35,33	2	30,07	0	0	0	0	11032	1208	294	658	2895	4195	11953	0
17	1	4852640	716,33	17,6	0	0	0	0	0	0	11325	1299	301	664	2875	4367	11980	0
18	1	4864500	734,922	20,39	1	13,45	0	0	0	0	11614	1208	271	644	2836	4449	12015	0
19	1	4879540	751,062	59,33	0	0	0	0	0	0	11779	1227	294	629	2854	4393	12240	0
20	1	4890430	755,206	8,387	2	20,08	0	0	0	0	11692	1274	298	668	2857	4453	12162	0
21	1	4907480	732,79	29,34	2	9,346	0	0	0	0	11975	1249	320	715	2819	4442	12319	0
22	1	4921860	747,459	16,36	0	0	0	0	0	0	12308	1222	311	636	2982	4511	12330	0
23	1	4935700	750,415	17,1	1	13,38	0	0	0	0	12362	1243	296	654	2963	4514	12402	0
24	1	4949160	767,158	21,93	1	1,755	0	0	0	0	12561	1222	302	656	2991	4599	12455	0
25	1	4964420	741,541	9,063	0	0	0	0	0	0	12646	1238	304	700	3072	4577	12315	0
26	1	4977050	766,866	21,22	0	0	0	0	0	0	12762	1249	310	678	2867	4725	12535	0
27	1	4992420	770,636	26,33	0	0	0	0	0	0	12876	1272	337	683	3096	4602	12421	0
28	1	5004740	800,273	18,92	2	18,8	0	0	0	0	13179	1239	310	711	3021	4773	12624	0
29	1	5014750	775,427	45,33	0	0	0	0	0	0	13375	1230	324	690	2989	4805	12312	0
30	1	5020370	788,89	7,817	0	0	0	0	0	0	13410	1230	304	650	2885	4898	12404	0
31	1	5032220	791,945	1,99	1	9,198	0	0	0	0	13453	1296	300	633	2921	4958	12538	0
32	1	5045890	793,159	4,032	0	0	0	0	0	0	13352	1243	332	594	2908	4839	12490	0
33	1	5060210	789,29	27,32	0	0	0	0	0	0	13588	1330	346	696	3046	4914	12699	0
34	1	5070390	801,757	32,91	0	0	0	0	0	0	13548	1180	309	639	3110	4900	12636	0
35	1	5081780	812,499	14,96	0	0	0	0	0	0	13779	1230	326	651	2995	4993	12671	0
36	1	5091340	823,534	14,63	0	0	0	0	0	0	13779	1233	309	689	2958	5051	12439	0
37	1	5103620	809,98	13,22	3	5,698	0	0	0	0	14091	1212	299	619	3080	5041	12602	0
38	1	5115280	807,16	36,52	0	0	0	0	0	0	14241	1221	313	647	3141	5047	12711	0
39	1	5126600	838,677	17,49	0	0	0	0	0	0	13948	1337	343	682	3027	5189	12734	0
40	1	5139600	823,17	39,07	1	16,83	0	0	0	0	14211	1248	323	680	3141	5080	12818	0
41	1	5147700	832,144	16,57	0	0	0	0	0	0	14391	1189	311	691	3029	5173	12610	0
42	1	5153980	831,558	5,63	2	14,53	0	0	0	0	14373	1215	299	638	3036	5152	12559	0
43	1	5166260	844,541	7,78E-4	0	0	0	0	0	0	14410	1271	314	608	3107	5296	12819	0
44	1	5182120	830,314	36,3	0	0	0	0	0	0	14773	1302	336	691	3124	5180	12954	0
45	1	5193730	835,742	18,12	0	0	0	0	0	0	14765	1281	312	679	3218	5269	13045	0
46	1	5199030	885,957	42,16	0	0	0	0	0	0	14883	1291	330	704	2977	5291	12753	0
47	1	5207130	879,305	16,4	0	0	0	0	0	0	14707	1228	301	661	3091	5292	12981	0
48	1	5222160	843,251	5,639	0	0	0	0	0	0	15003	1293	302	686	3023	5321	12903	0
49	1	5227390	862,706	43,25	0	0	0	0	0	0	14961	1225	336	632	3101	5388	12874	0
50	1	5239790	859,075	24,14	0	0	0	0	0	0	14858	1323	293	667	3127	5447	13047	0
51	1	5246780	847,864	21,45	0	0	0	0	0	0	14800	1244	288	658	2976	5488	12785	0
52	1	5263610	859,737	28,68	0	0	0	0	0	0	15389	1329	315	633	3158	5434	13183	0
53	1	5270020	879,185	0	1	2,523	0	0	0	0	15279	1239	301	658	3247	5475	12800	0
54	1	5281390	886,531	45,55	2	14,14	0	0	0	0	15308	1277	316	676	3073	5506	13203	0
55	1	5288700	877,473	24,44	1	0,3574	0	0	0	0	15378	1238	330	652	3080	5594	12825	0
56	1	5299370	887,883	0	0	0	0	0	0	0	15483	1284	293	644	3049	5537	13053	0
57	1	5311070	868,523	16,7	1	5,843	0	0	0	0	15754	1292	318	670	3037	5617	12924	0
58	1	5321710	872,441	22,7	0	0	0	0	0	0	15710	1308	318	679	3128	5518	13230	0
59	1	5327890	899,502	33,72	1	9,881	0	0	0	0	15733	1263	289	658	3121	5652	13088	0
60	1	5339170	908,684	14,82	0	0	0	0	0	0	15926	1240	322	617	3117	5609	13241	0
61	1	5345860	893,051	16,87	0	0	0	0	0	0	15954	1268	326	614	3149	5637	13199	0
62	1	5352960	901,863	18,58	0	0	0	0	0	0	15636	1326	295	621	3014	5638	12966	0
63	1	5365930	908,634	23,64	0	0	0	0	0	0	15743	1291	300	674	3032	5700	13014	0
64	1	5371610	909,587	7,586	0	0	0	0	0	0	16116	1280	309	637	2923	5940	12918	0
65	1	5387210	929,252	17,53	0	0	0	0	0	0	16090	1285	324	696	3181	5874	13361	0
66	1	5395970	927,406	6,944	0	0	0	0	0	0	16163	1314	350	633	3089	5844	13224	0
67	1	5403810	906,774	7,23	0	0	0	0	0	0	16291	1279	299	670	3116	5880	13129	0
68	1	5413580	931,324	30,18	0	0	0	0	0	0	16337	1311	324	674	3012	5871	13333	0
69	1	5420900	939,157	10,79	0	0	0	0	0	0	16269	1292	322	671	3048	5947	13111	0
70	1	5429480	929,104	12,61	0	0	0	0	0	0	16340	1279	318	658	3074	6076	13193	0
71	1	5442910	935,618	28,27	0	0	0	0	0	0	16615	1271	306	649	3220	5975	13261	0
72	1	5448570	921,068	26,9	0	0	0	0	0	0	16619	1262	349	637	3092	6057	13199	0
73	1	5455420	972,009	17,89	0	0	0	0	0	0	16717	1236	296	650	3212	6248	13291	0
74	1	5465260	962,2	23,6	0	0	0	0	0	0	16753	1296	315	642	3056	6121	13315	0
75	1	5472760	946,145	0,9797	0	0	0	0	0	0	16439	1265	293	621	3002	5991	13070	0
76	1	5484820	941,475	25,84	0	0	0	0	0	0	16770	1230	348	603	3221	6221	13247	0
77	1	5492460	959,434	5,346	0	0	0	0	0	0	17004	1309	285	662	3084	6174	13199	0
78	1	5499120	944,083	31,85	0	0	0	0	0	0	16730	1306	308	658	3175	6105	13411	0
79	1	5511800	940,378	19,75	0	0	0	0	0	0	17094	1265	328	648	3185	6226	13555	0
80	1	5517550	946,147	23,38	0	0	0	0	0	0	17039	1228	315	662	3106	6097	13247	0
81	1	5524520	958,081	21,6	0	0	0	0	0	0	16826	1275	305	636	3060	6190	13253	0
82	1	5532290	986,365	26,98	0	0	0	0	0	0	17348	1261	265	687	3038	6362	13393	0
83	1	5539720	946,777	23,5	0	0	0	0	0	0	16878	1297	294	644	3133	6246	13205	0
84	1	5550970	967,706	19,91	0	0	0	0	0	0	16998	1341	302	674	3050	6211	13322	0
85	1	5557410	947,646	16,12	0	0	0	0	0	0	17020	1203	316	637	3186	6200	13159	0
86	1	5565590	948,198	31,32	0	0	0	0	0	0	17140	1285	298	636	2952	6351	13155	0
87	1	5576030	981,465	18,07	0	0	0	0	0	0	17107	1313	290	649	3222	6469	13137	0
88	1	5582760	971,267	26,32	0	0	0	0	0	0	17166	1279	313	616	3125	6293	13349	0
89	1	5593820	1000,64	0	0	0	0	0	0	0	17433	1225	304	659	3126	6525	13457	0
90	1	5606940	986,762	39,34	0	0	0	0	0	0	17373	1382	301	652	3222	6333	13528	0
91	1	5614800	1001,89	18,03	0	0	0	0	0	0	17553	1308	318	694	3155	6513	13525	0
92	1	5625680	987,642	20,25	0	0	0	0	0	0	17366	1263	332	648	3331	6632	13414	0
93	1	5634590	993,003	25,96	0	0	0	0	0	0	17603	1277	306	682	3101	6553	13489	0
94	1	5637320	970,998	35,93	0	0	0	0	0	0	17773	1259	276	641	3171	6428	13392	0
95	1	5644340	1008,07	29,52	0	0	0	0	0	0	17536	1221	321	632	3207	6618	13413	0
96	1	5653980	1003,37	62,07	0	0	0	0	0	0	17477	1226	327	667	3178	6654	13259	0
97	1	5661700	995,637	16,12	0	0	0	0	0	0	17473	1224	331	673	3070	6666	13415	0
98	1	5672950	996,872	14,08	0	0	0	0	0	0	17821	1273	304	658	3087	6578	13382	0
99	1	5687000	1032,33	24,16	0	0	0	0	0	0	17864	1327	326	648	3127	6777	13490	0
100	1	5691130	1005,61	12,36	0	0	0	0	0	0	18133	1251	326	617	3183	6661	13363	0
101	1	5699610	1047,17	4,705	0	0	0	0	0	0	18025	1217	303	687	3115	7021	13632	0
102	1	5713050	997,98	11,97	0	0	0	0	0	0	18261	1330	350	679	3220	6820	13577	0
103	1	5714220	1017,54	13,81	0	0	0	0	0	0	18360	1197	339	658	3181	6821	13402	0
104	1	5721870	1047,08	15,64	0	0	0	0	0	0	18067	1205	312	656	3204	6935	13553	0
105	1	5724900	1032,04	30,06	0	0	0	0	0	0	18044	1219	315	618	3085	6868	13360	0
106	1	5737310	1029,1	34,56	0	0	0	0	0	0	18025	1262	316	623	3110	7010	13359	0
107	1	5743510	1037,68	41,74	0	0	0	0	0	0	18132	1256	327	629	3045	6982	13348	0
108	1	5754230	1066,73	35,95	0	0	0	0	0	0	18117	1296	320	667	3125	7008	13415	0
109	1	5758240	1069,65	25,34	0	0	0	0	0	0	18389	1252	351	632	3027	7024	13469	0
110	1	5768110	1057,58	16,46	0	0	0	0	0	0	18195	1205	326	637	3144	7080	13512	0
111	1	5778850	1058,03	21,44	0	0	0	0	0	0	18337	1273	305	673	3206	7115	13406	0
112	1	5785400	1092,45	34,62	0	0	0	0	0	0	18388	1236	326	627	3140	7099	13571	0
113	1	5791500	1099,53	8,122	0	0	0	0	0	0	18281	1241	302	616	3184	7294	13408	0
