10000000
300
ZONE	MED	LOSS(MEV)	(MEV)	EXCITATION	PI0	(MEV)	PI+	K+	MU-	MU+	PROT	DEUT	TRIT	HE3	ALPH	ELSC	INEL	FISS
1	1	4498340	642,966	4,382	0	0	0	0	0	0	4693	949	255	620	2761	3606	11214	0
2	1	4552760	648,921	22,76	0	0	0	0	0	0	6430	1145	313	632	3001	3631	11425	0
3	1	4586170	646,431	4,79	2	19,87	0	0	0	0	7249	1196	300	665	2866	3626	11430	0
4	1	4615180	649,642	13,3	2	16,76	0	0	0	0	7743	1223	315	680	2876	3681	11500	0
5	1	4638250	646,556	26,78	0	0	0	0	0	0	8344	1216	327	594	2763	3782	11401	0
6	1	4664790	660,56	19,31	1	20,5	0	0	0	0	8822	1178	316	700	2821	3923	11587	0
7	1	4684370	664,816	18,66	3	54,49	0	0	0	0	9199	1268	334	599	2832	3875	11628	0
8	1	4707290	679,734	22,85	5	41,6	0	0	0	0	9544	1287	355	663	2844	4018	11729	0
9	1	4727130	674,046	0,9175	0	0	0	0	0	0	9766	1250	307	626	2911	3989	11765	0
10	1	4742760	690,662	9,846	0	0	0	0	0	0	10106	1193	307	687	2877	4113	11769	0
11	1	4761020	703,513	5,033	1	10,26	0	0	0	0	10354	1295	302	660	2902	4045	11992	0
12	1	4776620	697,688	3,456	1	2,128	0	0	0	0	10535	1192	313	640	2910	4161	11843	0
13	1	4794610	730,144	21,25	2	16,13	0	0	0	0	10814	1292	334	701	3028	4276	11900	0
14	1	4807910	706,032	8,956	1	0,02344	0	0	0	0	10910	1210	339	632	2941	4183	11988	0
15	1	4823780	744,31	12,13	3	63,66	0	0	0	0	11076	1265	309	659	2818	4330	11938	0
16	1	4838340	741,652	9,188	1	25,7	0	0	0	0	11371	1195	322	619	2948	4224	12207	0
17	1	4850900	722,226	21,9	1	5,773	0	0	0	0	11322	1268	311	654	2898	4374	11871	0
18	1	4865770	741,887	19,32	2	40,26	0	0	0	0	11424	1237	313	608	2929	4355	12147	0
19	1	4882130	763,61	12,4	0	0	0	0	0	0	11717	1237	308	680	2987	4515	12192	0
20	1	4895010	732,202	4,882	1	5,856	0	0	0	0	12043	1276	324	636	2972	4513	12177	0
21	1	4904710	735,515	16,69	2	41,38	0	0	0	0	12158	1233	307	666	2969	4463	12101	0
22	1	4924980	744,853	1,023	1	2,634	0	0	0	0	12393	1296	330	669	2909	4559	12431	0
23	1	4936160	797,385	22,92	1	6,545	0	0	0	0	12441	1245	299	629	3009	4708	12350	0
24	1	4945240	755,753	0	1	2,238	0	0	0	0	12573	1276	351	643	2883	4693	12102	0
25	1	4957670	754,931	22,45	0	0	0	0	0	0	12519	1206	306	654	2923	4565	12216	0
26	1	4970390	776,291	26,47	0	0	0	0	0	0	12511	1300	292	693	2922	4716	12197	0
27	1	4985420	757,405	17,55	1	2,963	0	0	0	0	12805	1232	340	698	2980	4613	12452	0
28	1	4995200	774,236	7,922	1	4,453	0	0	0	0	12854	1242	295	637	2958	4729	12272	0
29	1	5011840	770,731	31,06	0	0	0	0	0	0	13030	1277	362	682	3081	4727	12679	0
30	1	5023320	793,714	29,59	0	0	0	0	0	0	13061	1229	319	655	3090	4890	12405	0
31	1	5032750	783,987	16,19	1	13,33	0	0	0	0	13478	1263	303	604	2981	4905	12405	0
32	1	5043810	794,627	13,4	3	45,05	0	0	0	0	13259	1248	319	686	2973	4840	12416	0
33	1	5061670	822,292	14,38	2	14,42	0	0	0	0	13643	1320	316	687	3065	4878	12795	0
34	1	5069900	799,487	40,09	1	2,032	0	0	0	0	13818	1212	305	670	2882	4915	12370	0
35	1	5076920	824,522	16,46	0	0	0	0	0	0	13726	1304	299	658	3033	4960	12426	0
36	1	5090970	814,319	8,327	1	4,195	0	0	0	0	13687	1266	346	690	2970	4937	12660	0
37	1	5103390	839,296	1,739	0	0	0	0	0	0	14106	1259	289	678	3010	5128	12719	0
38	1	5112490	827,137	40,39	0	0	0	0	0	0	13953	1276	332	677	3004	5036	12738	0
39	1	5122930	839,648	25,37	2	18,72	0	0	0	0	14184	1229	314	633	3136	5001	12733	0
40	1	5135130	849,419	24,38	0	0	0	0	0	0	14191	1301	319	650	3081	5201	12800	0
41	1	5146520	831,812	24,04	0	0	0	0	0	0	14449	1233	320	630	3046	5113	12829	0
42	1	5155180	849,096	53,64	0	0	0	0	0	0	14279	1233	362	640	3085	5253	12679	0
43	1	5164790	857,385	13,93	0	0	0	0	0	0	14422	1279	320	665	2903	5337	12656	0
44	1	5178850	840,686	18,51	0	0	0	0	0	0	14556	1260	334	693	3129	5342	13009	0
45	1	5187910	817,971	14,57	0	0	0	0	0	0	14766	1306	328	690	3090	5173	12826	0
46	1	5196840	860,397	20,4	0	0	0	0	0	0	14539	1279	318	657	3096	5336	12906	0
47	1	5212660	854,782	10,99	1	9,852	0	0	0	0	14903	1307	312	676	3226	5378	12905	0
48	1	5220140	884,647	30,47	1	3,462	0	0	0	0	15173	1272	310	648	3119	5407	12933	0
49	1	5228330	874,071	55,78	0	0	0	0	0	0	15023	1190	318	672	2997	5562	13009	0
50	1	5240430	858,423	27,2	1	0,6977	0	0	0	0	15074	1247	326	661	3016	5432	12906	0
51	1	5249520	861,551	13,66	0	0	0	0	0	0	15205	1258	318	674	3028	5419	12784	0
52	1	5258060	847,93	32,22	3	17,13	0	0	0	0	14938	1250	304	668	3064	5415	12831	0
53	1	5272960	865,08	31,97	1	5,721	0	0	0	0	15505	1292	339	658	3129	5415	13098	0
54	1	5280410	880,365	19,39	0	0	0	0	0	0	15342	1314	330	664	3037	5428	13130	0
55	1	5290020	874,761	7,206	1	0,3574	0	0	0	0	15517	1155	339	633	3101	5592	12985	0
56	1	5301150	868,311	9,035	0	0	0	0	0	0	15691	1296	338	726	3104	5537	13057	0
