10000000
300
ZONE	MED	LOSS(MEV)	(MEV)	EXCITATION	PI0	(MEV)	PI+	K+	MU-	MU+	PROT	DEUT	TRIT	HE3	ALPH	ELSC	INEL	FISS
57	1	5307310	880,09	41,67	0	0	0	0	0	0	15664	1259	336	683	3089	5600	13215	0
58	1	5318840	902,776	39,91	0	0	0	0	0	0	15348	1269	325	666	3203	5600	13089	0
59	1	5327510	872,896	10,66	0	0	0	0	0	0	15718	1209	285	680	2954	5599	12999	0
60	1	5338500	883,531	13,44	0	0	0	0	0	0	15723	1286	323	674	3164	5609	13130	0
61	1	5344960	902,379	8,293	0	0	0	0	0	0	15872	1251	351	633	2975	5739	13072	0
62	1	5358000	917,348	53,01	0	0	0	0	0	0	16018	1244	350	690	3096	5810	13234	0
63	1	5361200	919,39	10,49	2	26,01	0	0	0	0	16132	1279	308	656	3064	5741	13057	0
64	1	5369100	902,033	34,43	0	0	0	0	0	0	15815	1213	304	614	3041	5849	13258	0
65	1	5384500	891,925	19,05	0	0	0	0	0	0	16091	1302	315	668	3057	5651	13145	0
66	1	5390930	904,175	20,22	0	0	0	0	0	0	15867	1302	293	658	2964	5761	13104	0
67	1	5404090	925,368	16,3	0	0	0	0	0	0	16547	1271	322	636	2902	5958	13145	0
68	1	5409450	959,679	15,62	0	0	0	0	0	0	16260	1251	298	633	3023	5948	13320	0
69	1	5416170	943,94	36,25	0	0	0	0	0	0	16219	1310	333	650	3005	5975	13227	0
70	1	5427610	925,2	6,576	0	0	0	0	0	0	16050	1284	292	650	3117	5912	13280	0
71	1	5442430	929,878	30,44	1	2,597	0	0	0	0	16555	1236	333	619	3130	6031	13164	0
72	1	5449450	915,172	16,64	0	0	0	0	0	0	16634	1180	319	621	3091	5871	13149	0
73	1	5460730	951,884	34,44	0	0	0	0	0	0	16980	1239	286	676	3092	6103	13291	0
74	1	5464760	913,322	37,51	0	0	0	0	0	0	16653	1354	329	649	3053	5979	13185	0
75	1	5475450	945,267	29,45	0	0	0	0	0	0	16645	1325	304	581	3191	6016	13170	0
76	1	5483860	938,447	0	0	0	0	0	0	0	16745	1266	317	627	3074	6280	13128	0
77	1	5493960	984,236	32,48	0	0	0	0	0	0	16992	1278	325	616	3154	6281	13553	0
78	1	5503220	936,525	8,094	0	0	0	0	0	0	17140	1281	317	663	3026	6107	13527	0
79	1	5513100	950,292	9,932	1	5,07	0	0	0	0	17000	1314	334	661	3192	6179	13342	0
80	1	5521590	966,638	36,5	0	0	0	0	0	0	17020	1276	310	663	3140	6198	13369	0
81	1	5528770	953,157	11,29	0	0	0	0	0	0	16961	1252	297	659	3074	6435	13444	0
82	1	5535990	970,96	26,01	0	0	0	0	0	0	17266	1237	309	625	2980	6246	13264	0
83	1	5546050	992,752	22,11	0	0	0	0	0	0	16960	1255	355	721	3102	6471	13318	0
84	1	5556360	966,266	20,4	0	0	0	0	0	0	17406	1276	337	660	3104	6185	13561	0
85	1	5566200	970,773	13,88	0	0	0	0	0	0	17443	1308	319	627	3199	6302	13520	0
86	1	5571730	960,172	17,38	0	0	0	0	0	0	17326	1251	335	670	3051	6306	13391	0
87	1	5578830	932,936	16,69	0	0	0	0	0	0	17539	1254	325	639	3065	6204	13260	0
88	1	5589220	992,7	42,99	0	0	0	0	0	0	17512	1299	347	679	3188	6593	13499	0
89	1	5595440	998,883	37	0	0	0	0	0	0	17487	1279	318	607	3118	6496	13290	0
90	1	5604230	997,82	1,824	0	0	0	0	0	0	17386	1205	340	673	3202	6536	13478	0
91	1	5613000	981,93	23,27	0	0	0	0	0	0	17412	1306	314	679	3180	6456	13551	0
92	1	5621360	994,343	30,2	0	0	0	0	0	0	17385	1301	328	664	3075	6526	13319	0
93	1	5630720	1019,09	17,77	0	0	0	0	0	0	17708	1335	338	657	3176	6616	13488	0
94	1	5641450	969,788	21,74	0	0	0	0	0	0	17774	1305	326	673	3185	6528	13470	0
95	1	5647970	1014,67	35,51	0	0	0	0	0	0	17749	1212	359	677	3179	6632	13385	0
96	1	5656030	990,475	58,74	0	0	0	0	0	0	17819	1303	310	633	3209	6747	13571	0
97	1	5662070	1036,55	41,68	0	0	0	0	0	0	17444	1237	327	628	3016	6823	13301	0
98	1	5671120	1014,58	1,965	0	0	0	0	0	0	17593	1233	325	679	3095	6804	13255	0
99	1	5680570	990,954	15,74	0	0	0	0	0	0	17801	1246	327	653	3229	6662	13382	0
100	1	5690020	1019,86	34,07	0	0	0	0	0	0	17937	1267	323	617	3172	6698	13627	0
101	1	5695130	1030,38	28,71	0	0	0	0	0	0	17910	1274	322	639	3100	6831	13374	0
102	1	5707480	1016,34	6,971	0	0	0	0	0	0	18140	1251	314	669	3167	6851	13603	0
103	1	5712760	1041,6	11,45	0	0	0	0	0	0	17921	1207	338	662	3127	6783	13486	0
104	1	5721840	1005,68	23,04	0	0	0	0	0	0	18161	1246	300	687	3129	6846	13399	0
105	1	5731540	1038,12	11,89	0	0	0	0	0	0	18234	1301	315	705	3129	6859	13537	0
106	1	5737200	1027,36	36,65	0	0	0	0	0	0	18115	1244	344	657	3228	6916	13646	0
107	1	5746880	1067,43	19,86	0	0	0	0	0	0	18298	1275	280	682	3216	7118	13590	0
108	1	5752730	1041,8	31,76	0	0	0	0	0	0	18185	1285	333	639	3059	6986	13528	0
109	1	5762420	1070,35	6,024	0	0	0	0	0	0	18343	1260	311	628	3126	7053	13275	0
110	1	5769770	1082,69	8,071	0	0	0	0	0	0	18368	1281	349	653	3083	7062	13271	0
111	1	5775350	1035,77	32,88	0	0	0	0	0	0	18164	1326	286	688	3148	7028	13468	0
112	1	5785610	1047,34	9,326	0	0	0	0	0	0	18525	1252	302	690	3083	7122	13531	0
113	1	5791020	1061,27	43,91	0	0	0	0	0	0	18292	1216	326	661	3183	7230	13390	0
114	1	5799410	1052,22	23,19	0	0	0	0	0	0	18595	1233	333	598	3107	7236	13287	0
115	1	5806950	1087,53	21,47	0	0	0	0	0	0	18486	1277	283	630	3152	7380	13556	0
116	1	5811750	1076,65	32,22	0	0	0	0	0	0	18362	1285	307	608	3056	7252	13387	0
117	1	5820750	1086	12,63	0	0	0	0	0	0	18490	1253	284	662	3013	7428	13327	0
118	1	5827770	1074,33	17,39	0	0	0	0	0	0	18326	1255	286	649	3043	7288	13416	0
119	1	5838540	1111,73	18,6	0	0	0	0	0	0	18567	1278	299	682	3126	7622	13612	0
120	1	5843680	1110,64	5,109	0	0	0	0	0	0	18541	1208	296	672	3055	7609	13335	0
121	1	5852500	1119,42	6,841	0	0	0	0	0	0	18491	1245	305	623	3132	7647	13356	0
122	1	5860070	1118,59	8,98	0	0	0	0	0	0	18738	1224	290	670	3200	7677	13462	0
123	1	5867880	1101,3	40,98	0	0	0	0	0	0	18791	1169	323	591	3138	7559	13364	0
124	1	5873030	1131,97	13,5	0	0	0	0	0	0	18502	1219	322	588	3019	7786	13198	0
125	1	5883710	1113,93	25,78	0	0	0	0	0	0	18789	1209	332	657	3073	7613	13624	0
126	1	5893860	1109,74	35,51	0	0	0	0	0	0	18887	1226	311	628	3174	7689	13472	0
127	1	5901620	1141,25	3,902	0	0	0	0	0	0	18740	1235	287	655	3079	7708	13341	0
128	1	5907160	1106,91	33,81	0	0	0	0	0	0	18617	1228	294	607	3038	7731	13379	0
129	1	5918820	1169,26	20,77	0	0	0	0	0	0	18919	1297	309	609	3117	7964	13524	0
130	1	5928950	1135,81	5,042	0	0	0	0	0	0	18948	1184	302	633	3071	7779	13458	0
131	1	5933450	1141,91	20,95	0	0	0	0	0	0	18710	1224	283	635	3182	8066	13424	0
132	1	5946220	1139,96	28,55	0	0	0	0	0	0	18836	1236	299	657	3078	7970	13466	0
133	1	5958070	1162,79	11,89	0	0	0	0	0	0	18919	1237	302	621	3116	8011	13465	0
134	1	5962510	1141,89	16,07	0	0	0	0	0	0	19261	1283	313	654	3079	7823	13612	0
135	1	5972010	1134,16	39,93	0	0	0	0	0	0	19108	1230	268	637	3190	7842	13556	0
136	1	5979820	1179,88	4,953	0	0	0	0	0	0	18684	1231	288	616	3198	8057	13534	0
137	1	5987680	1179,73	19,55	0	0	0	0	0	0	19152	1221	310	560	3073	8118	13245	0
138	1	5999250	1133,71	4,086	0	0	0	0	0	0	19040	1238	303	666	3288	7985	13616	0
139	1	6003210	1161,06	20,99	0	0	0	0	0	0	18993	1215	301	619	3077	8085	13356	0
140	1	6014660	1187,3	9,851	0	0	0	0	0	0	19350	1194	316	644	2969	8222	13374	0
141	1	6020730	1212,14	30,23	0	0	0	0	0	0	19297	1246	290	650	3117	8380	13579	0
142	1	6028770	1180,97	9,589	0	0	0	0	0	0	19382	1241	281	628	3190	8204	13600	0
143	1	6036100	1202,99	15,07	0	0	0	0	0	0	19467	1241	287	618	3118	8406	13520	0
144	1	6042850	1188,42	17,03	0	0	0	0	0	0	19518	1203	296	604	3208	8312	13529	0
145	1	6047610	1217,16	23,45	0	0	0	0	0	0	19445	1231	283	611	3172	8385	13473	0
146	1	6059610	1219,09	13,97	0	0	0	0	0	0	19452	1215	309	691	3168	8542	13769	0
147	1	6064330	1245,36	14,42	0	0	0	0	0	0	19715	1216	300	630	3029	8537	13606	0
148	1	6069940	1189,31	5,23	0	0	0	0	0	0	19340	1314	289	672	3124	8534	13480	0
149	1	6076460	1243,85	22,38	0	0	0	0	0	0	19410	1201	299	583	3131	8878	13459	0
150	1	6088650	1254,1	21,68	0	0	0	0	0	0	19770	1182	315	607	3222	8692	13740	0
151	1	6099290	1253,35	21,57	0	0	0	0	0	0	19772	1202	311	671	3078	8728	13545	0
152	1	6109630	1265,66	20,84	0	0	0	0	0	0	19642	1181	304	607	3157	8804	13545	0
153	1	6131040	1269,26	24,25	0	0	0	0	0	0	19674	1179	267	668	3111	8905	13691	0
154	1	6153420	1267,32	28,64	0	0	0	0	0	0	20247	1180	318	624	3109	8860	13677	0
155	1	6174130	1287,01	27,47	0	0	0	0	0	0	19908	1227	292	675	3152	9033	13541	0
156	1	6197750	1288,01	20,78	0	0	0	0	0	0	20035	1266	297	599	3229	8956	13760	0
157	1	6214490	1291,06	11,44	0	0	0	0	0	0	19773	1159	267	631	3005	9136	13484	0
158	1	6236130	1276,63	43,68	0	0	0	0	0	0	19978	1218	293	639	3169	8986	13663	0
159	1	6248550	1297,04	18,15	0	0	0	0	0	0	19717	1221	275	626	3243	9172	13402	0
160	1	6261790	1319,97	9,397	0	0	0	0	0	0	20046	1194	269	618	3101	9321	13619	0
161	1	6274550	1299,16	28,06	0	0	0	0	0	0	19734	1171	287	648	3028	9272	13528	0
162	1	6286530	1350,95	18,06	0	0	0	0	0	0	20121	1195	253	622	3031	9365	13439	0
163	1	6296430	1332,27	14,98	0	0	0	0	0	0	19755	1187	294	579	3082	9431	13465	0
164	1	6309500	1325,66	4,343	0	0	0	0	0	0	20061	1219	271	615	3085	9473	13394	0
165	1	6320860	1308,19	3,746	0	0	0	0	0	0	20099	1240	292	599	3169	9383	13453	0
166	1	6333730	1327,96	41,07	0	0	0	0	0	0	19960	1227	283	615	3109	9532	13589	0
167	1	6348480	1358,12	6,58	0	0	0	0	0	0	20289	1260	283	579	3090	9840	13524	0
168	1	6359500	1393,1	30,43	0	0	0	0	0	0	20150	1156	311	595	3154	9788	13497	0
169	1	6369520	1413,56	15,72	0	0	0	0	0	0	20133	1205	254	573	3019	9926	13137	0
170	1	6380760	1377,89	12,12	0	0	0	0	0	0	20138	1132	294	635	3109	10062	13360	0
171	1	6394450	1395,67	8,921	0	0	0	0	0	0	20335	1117	290	632	3059	9945	13501	0
172	1	6403900	1412,98	43,34	0	0	0	0	0	0	20093	1120	271	579	3071	10114	13315	0
173	1	6417170	1393,94	29,25	0	0	0	0	0	0	20110	1179	240	590	3025	10208	13247	0
174	1	6436040	1397,97	15,33	0	0	0	0	0	0	20184	1244	290	587	3132	10245	13580	0
175	1	6446200	1439,02	23,16	0	0	0	0	0	0	20304	1168	281	608	3114	10155	13486	0
176	1	6461700	1430,58	0	0	0	0	0	0	0	20301	1201	272	594	2992	10446	13481	0
177	1	6475610	1422,83	27,97	0	0	0	0	0	0	20248	1159	253	603	3055	10406	13420	0
178	1	6491190	1463,25	46,11	0	0	0	0	0	0	20622	1134	310	559	3135	10561	13444	0
179	1	6509630	1463,4	19,93	0	0	0	0	0	0	20685	1138	313	626	3110	10594	13776	0
180	1	6523580	1474,42	38,57	0	0	0	0	0	0	20591	1184	278	625	3188	10702	13624	0
181	1	6533950	1479,82	23,42	0	0	0	0	0	0	20526	1165	278	598	3081	10755	13495	0
182	1	6552040	1496,82	17,91	0	0	0	0	0	0	20614	1136	270	641	3117	10888	13716	0
183	1	6567640	1475,96	23,89	0	0	0	0	0	0	20677	1139	275	558	3192	10912	13617	0
184	1	6582630	1493,92	18,39	0	0	0	0	0	0	20726	1158	302	564	3068	10875	13577	0
185	1	6594890	1489,73	16	0	0	0	0	0	0	20818	1123	251	562	3045	11034	13471	0
186	1	6614250	1502,05	37,48	0	0	0	0	0	0	20594	1133	308	604	3167	11024	13531	0
187	1	6632010	1493,84	33,49	0	0	0	0	0	0	21006	1197	268	583	3125	11107	13540	0
188	1	6645540	1565,5	21,47	0	0	0	0	0	0	21022	1132	290	625	3047	11415	13490	0
189	1	6662370	1585,93	13,86	0	0	0	0	0	0	21007	1226	248	565	3162	11557	13638	0
190	1	6678210	1553,7	27,96	0	0	0	0	0	0	21109	1141	271	555	3202	11485	13533	0
191	1	6691690	1558,79	12,09	0	0	0	0	0	0	21009	1131	256	560	3118	11479	13489	0
192	1	6711700	1561,17	31,23	0	0	0	0	0	0	20898	1156	301	587	3067	11669	13561	0
193	1	6730190	1575,49	0	0	0	0	0	0	0	20953	1169	284	610	3107	11642	13629	0
194	1	6747800	1588,92	41,94	0	0	0	0	0	0	21130	1131	272	594	3097	11871	13590	0
195	1	6761090	1553,87	27,19	0	0	0	0	0	0	20786	1147	256	635	3102	11665	13153	0
196	1	6775270	1623,8	27,63	0	0	0	0	0	0	20921	1123	274	574	3034	11811	13341	0
197	1	6795310	1639,64	16,64	0	0	0	0	0	0	20908	1119	257	580	3063	12151	13627	0
198	1	6815360	1654,02	31,45	0	0	0	0	0	0	21188	1100	281	555	3156	12269	13537	0
199	1	6831250	1684,98	28,87	0	0	0	0	0	0	21092	1092	247	552	3140	12309	13347	0
200	1	6849690	1694,7	19,84	0	0	0	0	0	0	21135	1091	251	570	3052	12552	13353	0
201	1	6866880	1671,81	9,091	0	0	0	0	0	0	21520	1128	253	568	3153	12353	13414	0
202	1	6881600	1676,69	33,02	0	0	0	0	0	0	21470	1104	243	548	3009	12585	13522	0
203	1	6901410	1664,69	3,376	0	0	0	0	0	0	21428	1114	244	618	3032	12628	13515	0
204	1	6925050	1690,01	22,08	0	0	0	0	0	0	21473	1183	262	589	3147	12687	13735	0
205	1	6942020	1701,13	27,95	0	0	0	0	0	0	21277	1117	262	533	3126	12898	13532	0
206	1	6969750	1725,64	22,97	0	0	0	0	0	0	21605	1110	260	574	3072	13067	13404	0
207	1	6993930	1764,85	25,06	0	0	0	0	0	0	21455	1082	259	620	3136	13212	13576	0
208	1	7021130	1762,62	38,18	0	0	0	0	0	0	21376	1110	269	552	3035	13175	13333	0
209	1	7055540	1766,3	12,73	0	0	0	0	0	0	21870	1112	250	583	3057	13357	13615	0
210	1	7084950	1791,25	32,55	0	0	0	0	0	0	22016	1103	257	521	3072	13509	13592	0
211	1	7115030	1792,45	8,117	0	0	0	0	0	0	21603	1087	256	594	3147	13507	13710	0
212	1	7148050	1833,48	7,1	0	0	0	0	0	0	21711	1104	254	627	3138	13737	13794	0
213	1	7175410	1776,36	26,77	0	0	0	0	0	0	22388	1081	243	550	3038	13411	13801	0
214	1	7199880	1834,54	25,27	0	0	0	0	0	0	21735	1053	239	537	3136	13992	13607	0
215	1	7233340	1870,4	4,792	0	0	0	0	0	0	22126	1128	218	567	3198	14138	13739	0
216	1	7261350	1855,18	18,75	0	0	0	0	0	0	22128	1082	269	570	3107	13972	13674	0
217	1	7292320	1852,74	13,67	0	0	0	0	0	0	22265	1134	245	569	3213	14248	13768	0
218	1	7324930	1918,96	36,93	0	0	0	0	0	0	22084	1126	228	559	3158	14367	13825	0
219	1	7361860	1947,11	19,26	0	0	0	0	0	0	22634	1046	245	585	3137	14663	14070	0
220	1	7396400	1957,89	20,08	0	0	0	0	0	0	22606	1105	237	534	3191	14825	13847	0
221	1	7428630	1957,92	17,36	0	0	0	0	0	0	22486	1147	223	508	3052	14849	13819	0
222	1	7461740	1998,04	24,6	0	0	0	0	0	0	22396	1092	239	552	3165	15287	13944	0
223	1	7495670	2033,98	37,11	0	0	0	0	0	0	22688	1091	205	528	3231	15446	13636	0
224	1	7524110	2030,88	35,28	0	0	0	0	0	0	22433	1088	205	534	3085	15556	13753	0
225	1	7557200	2072,24	12,54	0	0	0	0	0	0	22763	1057	184	533	3200	15805	13937	0
226	1	7587230	2036,83	8,471	0	0	0	0	0	0	22553	1123	208	492	3067	15615	13691	0
227	1	7623820	2098,84	78,8	0	0	0	0	0	0	22645	1047	206	552	3098	16129	14053	0
228	1	7663200	2124,89	40,09	0	0	0	0	0	0	22932	1039	224	500	3110	16323	14044	0
229	1	7703990	2106,76	11,4	0	0	0	0	0	0	22843	1061	223	457	3171	16362	13773	0
230	1	7754250	2174,22	37,15	0	0	0	0	0	0	23234	1081	217	497	3091	16660	14156	0
231	1	7796770	2175,97	6,273	0	0	0	0	0	0	23183	1091	242	560	3055	16675	13897	0
232	1	7847440	2214,42	27,69	0	0	0	0	0	0	23157	1053	224	539	3144	17073	13884	0
233	1	7900030	2231,06	41,96	0	0	0	0	0	0	23239	1081	237	522	3224	17131	14068	0
234	1	7954750	2213,11	53,91	0	0	0	0	0	0	23403	1060	211	519	3068	17365	14061	0
235	1	8009300	2296,84	25,52	0	0	0	0	0	0	23367	1049	203	513	3124	17730	14019	0
236	1	8066140	2254,39	26,5	0	0	0	0	0	0	23747	1029	227	483	3120	17539	13831	0
237	1	8123240	2336	24,44	0	0	0	0	0	0	23466	1084	231	524	3047	17993	14075	0
238	1	8185670	2331,92	31,31	0	0	0	0	0	0	23380	1101	219	523	3156	18283	13894	0
239	1	8251350	2404,33	14,08	0	0	0	0	0	0	23366	1052	196	501	3184	18392	14221	0
240	1	8321040	2407,77	28,17	0	0	0	0	0	0	23665	1068	203	506	3048	18747	14340	0
241	1	8392180	2373,98	48,4	0	0	0	0	0	0	23741	1033	210	488	3238	18344	14337	0
242	1	8465660	2407,67	38,84	0	0	0	0	0	0	23761	1119	233	502	3066	19054	14139	0
243	1	8543580	2486,58	16,77	0	0	0	0	0	0	23939	1019	195	511	3238	19231	14506	0
244	1	8623880	2497,23	39,01	0	0	0	0	0	0	23818	1051	209	479	3159	19622	14267	0
245	1	8715560	2508,21	58,44	0	0	0	0	0	0	24162	1066	224	527	3323	19374	14587	0
246	1	8801720	2520,3	18,89	0	0	0	0	0	0	24445	1051	221	516	3224	19565	14601	0
247	1	8895070	2609,1	30,41	0	0	0	0	0	0	23898	1125	204	501	3227	20136	14847	0
248	1	8997570	2610,24	19,54	0	0	0	0	0	0	24278	1069	220	481	3169	20184	14861	0
249	1	9103260	2614,21	32,83	0	0	0	0	0	0	24557	1060	218	512	3182	20323	14936	0
250	1	9218380	2622,57	11,93	0	0	0	0	0	0	24808	1064	203	523	3346	20451	15264	0
251	1	9337520	2684,68	36,03	0	0	0	0	0	0	25122	1141	202	503	3217	21009	15254	0
252	1	9459560	2702,24	21,62	0	0	0	0	0	0	24925	1061	190	527	3242	21142	15205	0
253	1	9591260	2761,4	25,03	0	0	0	0	0	0	25455	1167	204	504	3180	21520	15293	0
254	1	9736110	2788,94	30,23	0	0	0	0	0	0	25549	1141	219	435	3512	21880	15793	0
255	1	9887960	2869,58	6,74	0	0	0	0	0	0	25985	1140	188	473	3432	22339	15887	0
256	1	10046500	2886	17,33	0	0	0	0	0	0	26002	1149	224	476	3268	22597	16074	0
257	1	10218800	2965,72	63,17	0	0	0	0	0	0	26316	1175	212	460	3407	23370	15978	0
258	1	10406100	2966,62	34,59	0	0	0	0	0	0	27045	1136	197	447	3536	23342	16438	0
259	1	10602500	3047,91	9,407	0	0	0	0	0	0	27196	1199	196	455	3447	23784	16312	0
260	1	10822900	3094,81	54,79	0	0	0	0	0	0	27954	1213	208	470	3586	24111	16753	0
261	1	11054000	3107,33	38,47	0	0	0	0	0	0	28886	1165	215	461	3531	24360	16794	0
262	1	11310200	3248,98	7,276	0	0	0	0	0	0	29240	1165	220	409	3697	25108	17583	0
263	1	11599100	3239,45	53,81	0	0	0	0	0	0	30366	1156	229	458	3762	25593	17672	0
264	1	11914500	3285,14	32,79	0	0	0	0	0	0	31710	1246	253	442	3749	25832	18054	0
265	1	12268800	3306,28	32,28	0	0	0	0	0	0	33453	1120	209	426	3842	26100	18237	0
266	1	12668500	3420,57	49,29	0	0	0	0	0	0	35665	1177	179	416	3826	26856	18688	0
267	1	13129400	3391,75	41,64	0	0	0	0	0	0	39229	1138	225	403	4089	26783	19577	0
268	1	13658000	3455,25	45,36	0	0	0	0	0	0	44529	1205	197	375	4141	27162	20158	0
269	1	14265100	3464,36	51,31	0	0	0	0	0	0	51737	1212	207	379	4123	26923	20888	0
270	1	14989000	3491,25	36,74	0	0	0	0	0	0	64778	1182	216	361	4256	27525	21618	0
271	1	15841300	3488,04	39,38	0	0	0	0	0	0	85072	1289	205	348	4115	27549	23041	0
272	1	16851400	3463,59	128,9	0	0	0	0	0	0	121948	1260	193	291	3986	27173	25357	0
273	1	18007900	3377,62	129,1	0	0	0	0	0	0	183703	1194	144	254	3890	26393	28194	0
274	1	19226700	3236,51	159,2	0	0	0	0	0	0	280313	1122	130	207	3528	25283	32273	0
275	1	20336400	3022,39	225,6	0	0	0	0	0	0	417754	962	99	132	3199	23752	37441	0
276	1	21031100	2719,4	254,1	0	0	0	0	0	0	589825	828	89	122	2735	21275	43442	0
