10000000
300
ZONE	MED	LOSS(MEV)	(MEV)	EXCITATION	PI0	(MEV)	PI+	K+	MU-	MU+	PROT	DEUT	TRIT	HE3	ALPH	ELSC	INEL	FISS
1	1	4498740	626,547	14,97	1	2,66	0	0	0	0	4697	925	266	596	2716	3583	11182	0
2	1	4548530	627,044	12,72	4	40,54	0	0	0	0	6358	1137	302	659	2833	3547	11040	0
3	1	4579490	649,493	8,875	0	0	0	0	0	0	7080	1167	302	622	2691	3645	11171	0
4	1	4610090	655,568	17,95	0	0	0	0	0	0	7573	1183	333	676	2788	3892	11310	0
5	1	4638900	636,073	29,01	0	0	0	0	0	0	8370	1236	305	671	2915	3724	11440	0
6	1	4663820	654,454	13,63	1	35,36	0	0	0	0	8666	1171	334	659	2840	3867	11476	0
7	1	4685510	670,165	26,7	4	37,97	0	0	0	0	9303	1212	279	649	2838	3893	11560	0
8	1	4705340	703,729	11,59	1	8,99	0	0	0	0	9577	1251	321	635	3008	4016	11818	0
9	1	4722400	682,028	10,58	0	0	0	0	0	0	9710	1262	305	676	2884	3935	11673	0
10	1	4739400	692,353	22,76	0	0	0	0	0	0	9994	1232	259	607	2879	4053	11676	0
11	1	4760180	694,183	32,92	2	34,37	0	0	0	0	10348	1225	339	652	2924	4145	11817	0
12	1	4776330	694,971	18,85	1	10,63	0	0	0	0	10515	1280	314	686	3008	4047	11891	0
13	1	4789720	693,166	0	2	29,11	0	0	0	0	10604	1206	279	642	2879	4142	11685	0
14	1	4804340	718,641	7,924	0	0	0	0	0	0	10955	1222	277	638	2835	4305	11810	0
15	1	4818690	729,822	15,4	0	0	0	0	0	0	10811	1225	323	667	2867	4249	11814	0
16	1	4835040	710,159	31,26	0	0	0	0	0	0	11193	1195	313	647	2885	4271	11915	0
17	1	4845250	726,207	4,831	3	8,585	0	0	0	0	11291	1191	299	609	2774	4423	11711	0
18	1	4861320	731,141	16,62	1	4,414	0	0	0	0	11346	1193	300	653	3026	4374	12103	0
19	1	4879460	754,561	4,943	0	0	0	0	0	0	11688	1219	333	669	2950	4519	12066	0
20	1	4895410	710,469	9,525	2	18,67	0	0	0	0	11986	1284	306	651	2955	4290	12294	0
21	1	4908380	732,32	44,37	1	26,48	0	0	0	0	12111	1239	314	645	3077	4444	12278	0
22	1	4919030	754,632	25,86	0	0	0	0	0	0	12216	1211	338	615	3063	4463	12218	0
23	1	4932230	751,422	19,38	4	30,88	0	0	0	0	12216	1254	313	643	2943	4550	12273	0
24	1	4948120	749,472	31,65	1	16,86	0	0	0	0	12554	1236	315	633	3051	4600	12319	0
25	1	4963350	767,532	32,63	1	1,59	0	0	0	0	12705	1281	287	665	3071	4679	12407	0
