5000000
300
ZONE	MED	LOSS(MEV)	(MEV)	EXCITATION	PI0	(MEV)	PI+	K+	MU-	MU+	PROT	DEUT	TRIT	HE3	ALPH	ELSC	INEL	FISS
1	1	2248760	313,766	2,255	1	12,31	0	0	0	0	2388	494	136	263	1349	1701	5632	0
2	1	2275320	340,264	7,012	2	4,58	0	0	0	0	3143	558	161	326	1367	1845	5621	0
3	1	2291150	318,446	8,293	0	0	0	0	0	0	3574	549	140	328	1364	1825	5628	0
4	1	2305820	343,8	0	1	7,675	0	0	0	0	3761	607	158	310	1454	1984	5665	0
5	1	2321270	338,203	13,81	1	17,65	0	0	0	0	4188	585	147	313	1398	1969	5720	0
6	1	2330560	340,103	0	2	20,96	0	0	0	0	4394	619	164	320	1398	1942	5771	0
7	1	2341160	331,407	0,1031	0	0	0	0	0	0	4517	611	162	335	1362	1918	5816	0
8	1	2352310	329,649	9,403	1	25,66	0	0	0	0	4805	594	141	328	1396	1895	5799	0
9	1	2362710	354,934	28,35	0	0	0	0	0	0	4862	613	178	331	1497	2062	5923	0
10	1	2371660	348,617	1,079	1	29,31	0	0	0	0	4957	634	162	298	1498	1983	5923	0
11	1	2381110	366,933	12,29	1	16,71	0	0	0	0	5102	641	147	340	1481	2098	5861	0
12	1	2388640	354,15	0	2	19,36	0	0	0	0	5227	604	145	318	1457	2053	5999	0
13	1	2397230	359,492	11,57	1	4,665	0	0	0	0	5382	655	142	309	1553	2092	5870	0
14	1	2405370	355,367	13	0	0	0	0	0	0	5539	593	159	359	1475	2045	6000	0
15	1	2411640	373,712	0	0	0	0	0	0	0	5523	599	139	349	1430	2233	5999	0
16	1	2419550	358,507	5,395	0	0	0	0	0	0	5570	655	184	315	1445	2164	5983	0
17	1	2425900	377,914	10,38	1	23,52	0	0	0	0	5685	620	167	287	1438	2190	6017	0
18	1	2432330	370,967	1,219	0	0	0	0	0	0	5737	624	153	327	1485	2234	6159	0
19	1	2442940	373,928	14,86	1	4,367	0	0	0	0	6001	646	165	357	1519	2200	6218	0
20	1	2445700	364,257	6,887	1	5,856	0	0	0	0	5950	662	155	324	1480	2227	6003	0
21	1	2452990	362,463	18,73	0	0	0	0	0	0	5956	662	152	317	1497	2227	6036	0
22	1	2460870	373,61	15,24	0	0	0	0	0	0	6021	639	165	349	1564	2282	6172	0
23	1	2467940	378,128	0	0	0	0	0	0	0	6142	609	139	358	1522	2305	6192	0
24	1	2475310	375,596	2,842	0	0	0	0	0	0	6260	620	164	363	1538	2300	6455	0
25	1	2481130	379,071	9,869	0	0	0	0	0	0	6321	668	158	343	1445	2365	6167	0
26	1	2482950	379,419	36,66	0	0	0	0	0	0	6233	616	157	304	1387	2370	5916	0
27	1	2491360	390,192	6,983	1	9,044	0	0	0	0	6403	619	159	307	1464	2384	6141	0
28	1	2498950	390,94	14,21	0	0	0	0	0	0	6530	695	159	355	1638	2323	6348	0
29	1	2503870	404,684	18,09	1	11,19	0	0	0	0	6459	621	141	326	1504	2429	6165	0
