10000000
300
ZONE	MED	LOSS(MEV)	(MEV)	EXCITATION	PI0	(MEV)	PI+	K+	MU-	MU+	PROT	DEUT	TRIT	HE3	ALPH	ELSC	INEL	FISS
1	1	4502260	635,744	23,67	1	9,81	0	0	0	0	4741	971	245	597	2906	3542	11239	0
2	1	4549280	625,827	8,675	0	0	0	0	0	0	6377	1155	275	646	2703	3563	10945	0
3	1	4581150	624,008	39,61	0	0	0	0	0	0	7057	1168	289	610	2882	3599	11187	0
4	1	4612210	654,528	22,99	1	17,52	0	0	0	0	7923	1176	286	672	2772	3738	11350	0
5	1	4638640	663,579	21,39	3	22,12	0	0	0	0	8207	1215	302	655	2876	3704	11499	0
6	1	4659880	647,65	11,28	3	43,23	0	0	0	0	8738	1200	297	643	2749	3785	11500	0
7	1	4683470	691,083	12,65	1	22,8	0	0	0	0	9287	1324	332	646	2830	3963	11712	0
8	1	4703530	693,226	5,703	4	52,49	0	0	0	0	9331	1217	313	630	2997	3976	11776	0
9	1	4725080	679,363	23,81	1	11,29	0	0	0	0	9729	1264	323	696	2833	4043	11608	0
10	1	4739040	694,887	9,091	0	0	0	0	0	0	9948	1199	323	570	2810	4054	11636	0
11	1	4756730	711,741	4,574	0	0	0	0	0	0	10151	1207	335	649	2741	4074	11708	0
12	1	4774920	712,937	8,811	3	40,69	0	0	0	0	10387	1309	339	638	2859	4149	11800	0
13	1	4791460	668,88	0	1	13,24	0	0	0	0	10643	1229	319	701	2982	4090	11835	0
14	1	4805430	707,118	16,06	1	26,49	0	0	0	0	10917	1200	294	610	2838	4208	11857	0
15	1	4823550	707,619	5,196	4	46,74	0	0	0	0	11240	1240	288	689	2895	4217	11967	0
16	1	4837010	747,523	18,09	2	11,05	0	0	0	0	11212	1244	328	639	2936	4325	12056	0
17	1	4847200	721,876	12,37	0	0	0	0	0	0	11184	1256	314	657	2822	4326	11926	0
18	1	4867810	729,554	25,05	2	16,47	0	0	0	0	11512	1272	302	691	2912	4345	12215	0
19	1	4879570	746,809	35,91	0	0	0	0	0	0	11684	1252	344	653	2892	4478	12172	0
20	1	4892910	744,604	12,19	0	0	0	0	0	0	11914	1321	327	709	2910	4586	12187	0
21	1	4910400	734,936	14,85	0	0	0	0	0	0	12044	1298	329	689	3026	4594	12233	0
22	1	4921900	761,39	31,28	0	0	0	0	0	0	12229	1279	318	680	3122	4580	12373	0
