2.00E+00	1.59E+02	6.31E+02	1.47E+03	2.53E+03	3.82E+03	5.27E+03	6.86E+03	8.57E+03	1.03E+04	1.20E+04	1.43E+04	1.56E+04	1.75E+04	1.93E+04	2.13E+04	2.33E+04	2.52E+04	2.69E+04
2.50E+00	1.34E+02	5.34E+02	1.25E+03	2.18E+03	3.32E+03	4.64E+03	6.10E+03	7.69E+03	9.28E+03	1.09E+04	1.32E+04	1.44E+04	1.62E+04	1.80E+04	1.99E+04	2.19E+04	2.38E+04	2.55E+04
3.00E+00	1.17E+02	4.66E+02	1.09E+03	1.91E+03	2.94E+03	4.14E+03	5.48E+03	6.97E+03	8.46E+03	1.00E+04	1.21E+04	1.34E+04	1.51E+04	1.68E+04	1.87E+04	2.06E+04	2.25E+04	2.42E+04
4.00E+00	9.40E+01	3.74E+02	8.71E+02	1.54E+03	2.39E+03	3.40E+03	4.56E+03	5.85E+03	7.19E+03	8.58E+03	1.05E+04	1.16E+04	1.32E+04	1.48E+04	1.66E+04	1.84E+04	2.02E+04	2.18E+04
5.00E+00	7.91E+01	3.15E+02	7.30E+02	1.30E+03	2.02E+03	2.89E+03	3.90E+03	5.04E+03	6.24E+03	7.50E+03	9.23E+03	1.03E+04	1.18E+04	1.33E+04	1.49E+04	1.66E+04	1.83E+04	1.99E+04
6.00E+00	6.86E+01	2.73E+02	6.31E+02	1.12E+03	1.75E+03	2.52E+03	3.41E+03	4.43E+03	5.51E+03	6.66E+03	8.22E+03	9.23E+03	1.06E+04	1.20E+04	1.35E+04	1.52E+04	1.68E+04	1.82E+04
7.00E+00	6.07E+01	2.41E+02	5.58E+02	9.91E+02	1.55E+03	2.23E+03	3.03E+03	3.95E+03	4.93E+03	5.99E+03	7.40E+03	8.36E+03	9.64E+03	1.09E+04	1.24E+04	1.39E+04	1.54E+04	1.68E+04
8.00E+00	5.46E+01	2.17E+02	5.01E+02	8.90E+02	1.39E+03	2.00E+03	2.73E+03	3.56E+03	4.46E+03	5.44E+03	6.73E+03	7.64E+03	8.84E+03	1.01E+04	1.14E+04	1.29E+04	1.43E+04	1.56E+04
9.00E+00	4.97E+01	1.98E+02	4.55E+02	8.09E+02	1.27E+03	1.82E+03	2.48E+03	3.25E+03	4.08E+03	4.98E+03	6.17E+03	7.03E+03	8.15E+03	9.30E+03	1.06E+04	1.20E+04	1.33E+04	1.46E+04
1.00E+01	4.57E+01	1.82E+02	4.18E+02	7.42E+02	1.16E+03	1.67E+03	2.28E+03	2.98E+03	3.75E+03	4.60E+03	5.69E+03	6.52E+03	7.57E+03	8.66E+03	9.87E+03	1.12E+04	1.24E+04	1.37E+04
1.50E+01	3.29E+01	1.31E+02	3.00E+02	5.34E+02	8.33E+02	1.20E+03	1.64E+03	2.14E+03	2.71E+03	3.33E+03	4.11E+03	4.78E+03	5.58E+03	6.43E+03	7.37E+03	8.37E+03	9.39E+03	1.04E+04
2.00E+01	2.61E+01	1.04E+02	2.38E+02	4.22E+02	6.59E+02	9.48E+02	1.29E+03	1.69E+03	2.14E+03	2.64E+03	3.24E+03	3.79E+03	4.44E+03	5.14E+03	5.90E+03	6.72E+03	7.56E+03	8.39E+03
2.50E+01	2.18E+01	8.65E+01	1.98E+02	3.52E+02	5.49E+02	7.90E+02	1.08E+03	1.41E+03	1.78E+03	2.20E+03	2.69E+03	3.16E+03	3.71E+03	4.29E+03	4.94E+03	5.62E+03	6.34E+03	7.06E+03
3.00E+01	1.88E+01	7.46E+01	1.71E+02	3.03E+02	4.74E+02	6.82E+02	9.27E+02	1.21E+03	1.53E+03	1.89E+03	2.31E+03	2.73E+03	3.20E+03	3.71E+03	4.26E+03	4.86E+03	5.48E+03	6.11E+03
4.00E+01	1.49E+01	5.92E+01	1.35E+02	2.41E+02	3.76E+02	5.41E+02	7.35E+02	9.60E+02	1.22E+03	1.50E+03	1.82E+03	2.16E+03	2.53E+03	2.94E+03	3.38E+03	3.85E+03	4.34E+03	4.86E+03
5.00E+01	1.25E+01	4.95E+01	1.13E+02	2.01E+02	3.14E+02	4.53E+02	6.16E+02	8.04E+02	1.02E+03	1.26E+03	1.52E+03	1.81E+03	2.12E+03	2.46E+03	2.82E+03	3.22E+03	3.63E+03	4.07E+03
6.00E+01	1.08E+01	4.29E+01	9.80E+01	1.74E+02	2.72E+02	3.92E+02	5.33E+02	6.96E+02	8.81E+02	1.09E+03	1.32E+03	1.57E+03	1.84E+03	2.13E+03	2.45E+03	2.79E+03	3.15E+03	3.52E+03
7.00E+01	9.56E+00	3.80E+01	8.69E+01	1.55E+02	2.42E+02	3.48E+02	4.73E+02	6.18E+02	7.82E+02	9.65E+02	1.17E+03	1.39E+03	1.63E+03	1.89E+03	2.17E+03	2.47E+03	2.79E+03	3.13E+03
8.00E+01	8.63E+00	3.43E+01	7.84E+01	1.39E+02	2.18E+02	3.14E+02	4.27E+02	5.58E+02	7.06E+02	8.71E+02	1.05E+03	1.25E+03	1.47E+03	1.71E+03	1.96E+03	2.23E+03	2.52E+03	2.82E+03
9.00E+01	7.89E+00	3.14E+01	7.17E+01	1.28E+02	1.99E+02	2.87E+02	3.91E+02	5.10E+02	6.46E+02	7.97E+02	9.64E+02	1.15E+03	1.35E+03	1.56E+03	1.79E+03	2.04E+03	2.30E+03	2.58E+03
1.00E+02	7.29E+00	2.90E+01	6.63E+01	1.18E+02	1.84E+02	2.65E+02	3.61E+02	4.72E+02	5.97E+02	7.37E+02	8.92E+02	1.06E+03	1.25E+03	1.44E+03	1.66E+03	1.89E+03	2.13E+03	2.39E+03
1.50E+02	5.45E+00	2.17E+01	4.95E+01	8.81E+01	1.38E+02	1.98E+02	2.70E+02	3.53E+02	4.47E+02	5.51E+02	6.67E+02	7.94E+02	9.33E+02	1.08E+03	1.24E+03	1.41E+03	1.60E+03	1.79E+03
2.00E+02	4.49E+00	1.79E+01	4.09E+01	7.27E+01	1.14E+02	1.64E+02	2.23E+02	2.91E+02	3.69E+02	4.56E+02	5.51E+02	6.57E+02	7.71E+02	8.94E+02	1.03E+03	1.17E+03	1.32E+03	1.48E+03
2.50E+02	3.91E+00	1.56E+01	3.56E+01	6.33E+01	9.89E+01	1.43E+02	1.94E+02	2.54E+02	3.21E+02	3.97E+02	4.81E+02	5.72E+02	6.72E+02	7.80E+02	8.95E+02	1.02E+03	1.15E+03	1.29E+03
3.00E+02	3.52E+00	1.41E+01	3.20E+01	5.70E+01	8.91E+01	1.28E+02	1.75E+02	2.29E+02	2.89E+02	3.58E+02	4.33E+02	5.16E+02	6.05E+02	7.03E+02	8.07E+02	9.19E+02	1.04E+03	1.16E+03
4.00E+02	3.03E+00	1.21E+01	2.76E+01	4.91E+01	7.68E+01	1.11E+02	1.51E+02	1.97E+02	2.50E+02	3.08E+02	3.73E+02	4.45E+02	5.22E+02	6.06E+02	6.96E+02	7.93E+02	8.96E+02	1.01E+03
5.00E+02	2.74E+00	1.10E+01	2.50E+01	4.44E+01	6.95E+01	1.00E+02	1.37E+02	1.78E+02	2.26E+02	2.79E+02	3.38E+02	4.03E+02	4.73E+02	5.49E+02	6.31E+02	7.18E+02	8.12E+02	9.11E+02
6.00E+02	2.56E+00	1.02E+01	2.33E+01	4.14E+01	6.48E+01	9.34E+01	1.27E+02	1.66E+02	2.11E+02	2.60E+02	3.15E+02	3.75E+02	4.41E+02	5.12E+02	5.88E+02	6.70E+02	7.57E+02	8.49E+02
7.00E+02	2.43E+00	9.70E+00	2.21E+01	3.93E+01	6.15E+01	8.87E+01	1.21E+02	1.58E+02	2.00E+02	2.47E+02	2.99E+02	3.57E+02	4.19E+02	4.86E+02	5.59E+02	6.36E+02	7.19E+02	8.07E+02
8.00E+02	2.33E+00	9.33E+00	2.13E+01	3.78E+01	5.92E+01	8.53E+01	1.16E+02	1.52E+02	1.92E+02	2.38E+02	2.88E+02	3.43E+02	4.03E+02	4.68E+02	5.38E+02	6.12E+02	6.92E+02	7.76E+02
9.00E+02	2.26E+00	9.04E+00	2.06E+01	3.67E+01	5.74E+01	8.28E+01	1.13E+02	1.48E+02	1.87E+02	2.31E+02	2.80E+02	3.33E+02	3.91E+02	4.54E+02	5.22E+02	5.94E+02	6.72E+02	7.54E+02
1.00E+03	2.21E+00	8.81E+00	2.02E+01	3.59E+01	5.61E+01	8.09E+01	1.10E+02	1.44E+02	1.83E+02	2.26E+02	2.73E+02	3.25E+02	3.82E+02	4.44E+02	5.10E+02	5.81E+02	6.56E+02	7.37E+02
