 z		  Dose		 (O14)Con.	(C10)Con.	(N13)Con.	(C11)Con.	(O15)Con.	tot.con.	(C10)Act	(C11)Act	(N13)Act	(O14)Act	(O15)Act	tot.act.	long.act.	tot.act.(2min)
(cm)	   (mGy)																 (1/cm3)																1e-11*1/sec/cm3/proj	
 2.3	 1.256e+00	   159.31	   512.70	   561.37	  1317.74	  3066.44	 5624.38	 3.6846e-07	 1.4973e-08	 1.3016e-08	 3.1284e-08	 3.4776e-07	 1.0444e-05	 4.0713e-07	 2.1613e-07
 2.4	 1.260e+00	   154.28	   529.48	   551.76	  1296.89	  3068.83	 5609.04	 3.8051e-07	 1.4736e-08	 1.2793e-08	 3.0296e-08	 3.4803e-07	 1.1741e-05	 4.0593e-07	 2.1572e-07
 2.5	 1.263e+00	   157.88	   529.35	   554.81	  1316.53	  3055.62	 5620.66	 3.8042e-07	 1.4959e-08	 1.2864e-08	 3.1002e-08	 3.4653e-07	 8.8090e-06	 4.0547e-07	 2.1542e-07
 2.6	 1.266e+00	   158.68	   529.32	   571.30	  1282.63	  3045.62	 5594.68	 3.8040e-07	 1.4574e-08	 1.3246e-08	 3.1159e-08	 3.4540e-07	 1.0145e-05	 4.0451e-07	 2.1489e-07
 2.7	 1.270e+00	   166.09	   525.47	   569.55	  1323.25	  3086.53	 5676.23	 3.7763e-07	 1.5036e-08	 1.3206e-08	 3.2615e-08	 3.5004e-07	 7.8346e-06	 4.1102e-07	 2.1802e-07
 2.8	 1.273e+00	   168.39	   519.26	   548.58	  1298.23	  3065.90	 5605.82	 3.7317e-07	 1.4751e-08	 1.2719e-08	 3.3065e-08	 3.4770e-07	 7.9303e-06	 4.0836e-07	 2.1622e-07
 2.9	 1.276e+00	   160.87	   521.58	   570.28	  1318.22	  3092.32	 5669.10	 3.7484e-07	 1.4979e-08	 1.3223e-08	 3.1590e-08	 3.5069e-07	 8.9628e-06	 4.1058e-07	 2.1796e-07
 3.0	 1.279e+00	   156.99	   539.63	   586.20	  1319.33	  3082.61	 5689.67	 3.8781e-07	 1.4991e-08	 1.3592e-08	 3.0827e-08	 3.4959e-07	 7.2257e-06	 4.0911e-07	 2.1766e-07
 3.1	 1.282e+00	   156.32	   536.07	   572.83	  1327.70	  3092.16	 5691.58	 3.8525e-07	 1.5086e-08	 1.3282e-08	 3.0696e-08	 3.5067e-07	 1.0104e-05	 4.0982e-07	 2.1798e-07
 3.2	 1.285e+00	   165.46	   531.07	   565.45	  1311.82	  3109.64	 5690.40	 3.8166e-07	 1.4906e-08	 1.3110e-08	 3.2490e-08	 3.5266e-07	 1.0258e-05	 4.1331e-07	 2.1919e-07
