z(cm)	  Dose(mGy)	(O14)Con.	(C10)Con.	(N13)Con.	(C11)Con.	(O15)Con.	tot.con.(1/cm3)
 7.3	 2.877e-02	    65.76	    25.18	     4.01	    11.97	    10.54	  117.55
 7.4	 2.881e-02	    62.42	    25.85	     3.21	    12.41	    10.60	  114.53
 7.5	 2.886e-02	    66.05	    28.78	     3.34	    11.71	    10.82	  120.83
 7.6	 2.890e-02	    65.06	    27.09	     3.37	    13.53	    10.38	  119.46
 7.7	 2.900e-02	    64.17	    27.02	     3.18	    11.81	    10.70	  117.01
 7.8	 2.902e-02	    66.18	    26.10	     3.63	    11.01	    10.41	  117.46
 7.9	 2.906e-02	    63.95	    27.37	     3.47	    10.73	     9.68	  115.36
 8.0	 2.911e-02	    66.08	    26.39	     3.44	    11.81	    11.36	  119.14
 8.1	 2.917e-02	    62.99	    26.39	     3.21	    11.14	    10.41	  114.31
 8.2	 2.920e-02	    62.80	    27.92	     3.28	    11.59	    10.15	  115.80
 8.3	 2.926e-02	    64.94	    24.67	     3.60	    12.00	    10.92	  116.25
 8.4	 2.931e-02	    61.75	    25.72	     3.06	    11.87	    10.60	  113.06
 8.5	 2.935e-02	    64.68	    26.74	     3.06	    12.48	    10.57	  117.58
 8.6	 2.941e-02	    61.75	    29.32	     2.99	    11.55	    10.44	  116.06
 8.7	 2.945e-02	    63.73	    25.78	     2.74	    11.90	    10.92	  115.23
 8.8	 2.951e-02	    66.27	    26.90	     3.02	    11.27	     9.90	  117.46
 8.9	 2.956e-02	    68.02	    27.02	     4.04	    11.01	    10.41	  120.61
 9.0	 2.963e-02	    63.69	    26.01	     3.85	    11.49	    10.41	  115.61
 9.1	 2.966e-02	    63.12	    26.42	     2.86	    11.97	     9.71	  114.24
 9.2	 2.971e-02	    63.88	    27.63	     2.71	    12.10	    10.54	  116.95
 9.3	 2.975e-02	    62.99	    25.40	     3.57	    11.90	    10.92	  114.97
 9.4	 2.977e-02	    63.31	    24.38	     3.12	    11.49	     9.77	  112.17
 9.5	 2.981e-02	    65.03	    26.71	     3.72	    12.57	    11.01	  119.08
 9.6	 2.987e-02	    66.85	    26.20	     2.71	    10.82	    10.31	  116.95
 9.7	 2.991e-02	    64.62	    25.31	     3.53	    12.22	     9.96	  115.83
 9.8	 2.993e-02	    64.39	    27.41	     3.34	    11.97	    10.25	  117.42
 9.9	 2.998e-02	    67.42	    27.60	     3.47	    11.90	     9.36	  119.78
 10.0	 3.004e-02	    64.33	    26.01	     3.28	    11.87	    10.47	  116.06
 10.1	 3.006e-02	    67.29	    27.69	     3.44	    12.29	    10.06	  120.86
 10.2	 3.012e-02	    63.44	    26.74	     2.71	    11.75	     9.84	  114.72
 10.3	 3.017e-02	    64.52	    26.55	     3.18	    11.90	     9.04	  115.36
